Name,Definition,Synonym,Output
cone-rod dystrophy 14,A cone-rod dystrophy that is characterized by deterioration of the cone in childhood or early adult life and progressive deterioration of the rod photoreceptor cells in later life that has_material_basis_in mutation in GUCA1A on chromosome 6p21.1.,syngnathia,cone-rod dystrophy
cone-rod dystrophy 2,A cone-rod dystrophy that has_material_basis_in heterozygous mutation in the CRX gene on chromosome 19q13.,retinal cone-rod dystrophy 2,cone-rod dystrophy
X-linked cone-rod dystrophy 2,A cone-rod dystrophy that has_material_basis_in variation in the chromosome region Xq27.,X-linked cone dystrophy 2,cone-rod dystrophy
X-linked cone-rod dystrophy 1,A cone-rod dystrophy that has_material_basis_in mutation in an alternative terminal exon 15 of the RPGR gene on chromosome Xp11.,X-linked cone dystrophy 1,cone-rod dystrophy
cone-rod dystrophy 1,A cone-rod dystrophy that has_material_basis_in variation in the chromosome region 18q21.1-q21.3.,CRD1,cone-rod dystrophy
cone-rod dystrophy 5,A cone-rod dystrophy that has_material_basis_in mutation in the PITPNM3 gene in chromosome region 17p13.2-p13.1.,CORD5,cone-rod dystrophy
cone-rod dystrophy 6,A cone-rod dystrophy that has_material_basis_in heterozygous mutation in the GUCY2D gene on chromosome 17p13.1.,retinal cone dystrophy 2,cone-rod dystrophy
cone-rod dystrophy 7,A cone-rod dystrophy that has_material_basis_in heterozygous mutation in the RIMS1 gene on chromosome 6q13.,CORD7,cone-rod dystrophy
cone-rod dystrophy 3,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the ABCA4 on chromosome 1p22.,CORD3,cone-rod dystrophy
cone-rod dystrophy 8,A cone-rod dystrophy that has_material_basis_in variation in the chromosome region 1q12-q24.,CORD8,cone-rod dystrophy
Newfoundland cone-rod dystrophy,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the RLBP1 gene on chromosome 15q26.,NFRCD,cone-rod dystrophy
cone-rod dystrophy 13,A cone-rod dystrophy that has_material_basis_in mutation in the RPGRIP1 gene on chromosome 14q11.2.,CORD13,cone-rod dystrophy
cone-rod dystrophy 10,A cone-rod dystrophy that has_material_basis_in compound heterozygous mutation in the SEMA4A gene on chromosome 1q22.,CORD10,cone-rod dystrophy
cone-rod dystrophy 11,A cone-rod dystrophy that has_material_basis_in heterozygous mutation in the RAX2 gene on chromosome 19p13.,CORD11,cone-rod dystrophy
cone-rod dystrophy 12,A cone-rod dystrophy that has_material_basis_in homozygous or heterozygous mutation in the PROM1 gene on chromosome 4p15.,CORD12,cone-rod dystrophy
cone-rod dystrophy 9,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the ADAM9 gene on chromosome 8p11.,CORD9,cone-rod dystrophy
cone-rod dystrophy 15,A cone-rod dystrophy that has_material_basis_in homozygous mutation in the CDHR1 gene on chromosome 10q23.,CORD15,cone-rod dystrophy
cone-rod dystrophy 16,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the C8ORF37 gene on chromosome 8q22.,retinal dystrophy with early macular involvement,cone-rod dystrophy
cone-rod dystrophy 17,A cone-rod dystrophy that has_material_basis_in variation in the chromosome region 10q26.,CORD17,cone-rod dystrophy
cone-rod dystrophy 18,A cone-rod dystrophy that has_material_basis_in homozygous mutation in the RAB28 gene on chromosome 4p15.,CORD18,cone-rod dystrophy
cone-rod dystrophy 19,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the TTLL5 gene on chromosome 14q24.,CORD19,cone-rod dystrophy
cone-rod dystrophy 20,A cone-rod dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the POC1B gene on chromosome 12q21.,CORD20,cone-rod dystrophy
