Name,Definition,Synonym,Output
autosomal dominant auditory neuropathy 1,An autosomal dominant nonsyndromic deafness characterized by  preservation of outer hair cell function and abnormal or absent auditory brainstem responses that has_material_basis_in heterozygous mutation in the DIAPH3 gene on chromosome 13q.,NSDAN,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 71,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 72,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 73,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 34,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 1,An autosomal dominant nonsyndromic deafness that is characterized by low frequency progressive hearing loss and has_material_basis_in mutation in the DIAPH1 gene on chromosome 5q31.,LFHL1,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 10,An autosomal dominant nonsyndromic deafness that is characterized by postlingual onset in the third or forth decade of life with a flat or gently downsloping audioprofiles and has_material_basis_in mutation in the EYA4 gene on chromosome 6q23.,DFNA10,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 11,An autosomal dominant nonsyndromic deafness that is characterized by postlingual onset in the first decade of life with a flat or gently downsloping audioprofiles and has_material_basis_in mutation in the MYO7A gene on chromosome 11q13.,DFNA11,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 12,An autosomal dominant nonsyndromic deafness that is characterized by prelingual onset and mid-frequency hearing loss and has_material_basis_in mutation in the TECTA gene on chromosome 11q23.,DFNA8,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 13,An autosomal dominant nonsyndromic deafness that is characterized by postlingual onset in the second decade of life with mid-frequency hearing loss and has_material_basis_in mutation in the COL11A2 gene on chromosome 6p21.,DFNA13,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 15,An autosomal dominant nonsyndromic deafness that is characterized by postlingual onset with high frequency progressive hearing loss and has_material_basis_in mutation in the POU4F3 gene on chromosome 5q32.,DFNA15,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 16,An autosomal dominant nonsyndromic deafness that has_material_basis_in variation in the chromosome region 2q23-q24.3.,DFNA16,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 17,An autosomal dominant nonsyndromic deafness that is characterized by postlingual onset with high frequency progressive hearing loss and has_material_basis_in mutation in the MYH9 gene on chromosome 22q12.,DFNA17,autosomal dominant nonsyndromic deafness
autosomal dominant nonsyndromic deafness 18,An autosomal dominant nonsyndromic deafness that has_material_basis_in variation in the chromosome region 3q22.,DFNA18,autosomal dominant nonsyndromic deafness
