Name,Definition,Synonym,Output
autosomal recessive nonsyndromic deafness 106,A Meier-Gorlin syndrome that has_material_basis_in compound heterozygous mutation in the MCM5 gene on chromosome 22q12.,Alwadei syndrome,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 107,A Meier-Gorlin syndrome that has_material_basis_in compound heterozygous mutation in the MCM5 gene on chromosome 22q12.,Alwadei syndrome,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 108,A Meier-Gorlin syndrome that has_material_basis_in compound heterozygous mutation in the MCM5 gene on chromosome 22q12.,Alwadei syndrome,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 101,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the GRXCR2 gene on chromosome 5q32.,DFNB101,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 102,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the EPS8 gene on chromosome 12p12.,DFNB102,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 103,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the CLIC5 gene on chromosome 6p21.,DFNB103,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 104,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the FAM65B gene on chromosome 6p22.,DFNB104,autosomal recessive nonsyndromic deafness
obsolete autosomal recessive nonsyndromic deafness 105,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the FAM65B gene on chromosome 6p22.,DFNB104,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 12,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB12,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 13,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 7q34-q36.,DFNB13,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 14,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation between D7S554 and D7S2459 in the chromosome region 7q31.,DFNB14,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 15,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the GIPC3 gene on chromosome 19p13.,DFNB95,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 16,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB16,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 17,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation between D7S2453 and D7S525 in the chromosome region 7q31.,DFNB17,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 18A,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB18A,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 18B,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the OTOG gene on chromosome 11p15.,DFNB18B,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 1A,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with usually stable hearing loss and has_material_basis_in mutation in the GJB2 gene on chromosome 13q12.,DFNB1A,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 1B,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with usually stable hearing loss and has_material_basis_in mutation in the GJB6 gene on chromosome 13q12.,DFNB1B,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 2,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the MYO7A gene on chromosome 11q13.,DFNB2,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 20,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 11q25-qter.,DFNB20,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 21,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB21,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 22,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB22,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 23,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB23,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 24,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB24,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 25,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with moderate to profound,DFNB25,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 26,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 4q31.,DFNB26,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 27,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 2q23-q31.,DFNB27,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 28,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB28,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 29,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB29,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 3,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,NRSD3,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 30,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB30,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 31,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset and has_material_basis_in mutation in the WHRN gene on chromosome 9q32.,DFNB31,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 32,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB32,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 33,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 10p11.23-q21.1.,DFNB33,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 35,An autosomal recessive nonsyndromic deafness that is characterized severe to profound hearing loss and has_material_basis_in mutation in the ESRRB gene on chromosome 14q24.,DFNB35,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 36,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset and has_material_basis_in mutation in the ESPN gene on chromosome 1p36.,DFNB36,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 37,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset and has_material_basis_in mutation in the MYO6 gene on chromosome 6q14.,DFNB37,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 38,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 6q26-q27.,DFNB38,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 39,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB39,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 4,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the SLC26A4 gene on chromosome 7q22.,DFNB4,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 40,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 22q11.21-q12.1.,DFNB40,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 42,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the ILDR1 gene on chromosome 3q13.,DFNB42,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 44,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the ADCY1 gene on chromosome 7p12.,DFNB44,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 45,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 1q43-q44.,DFNB45,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 46,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 18p11.32-p11.31.,DFNB46,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 47,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 2p25.1-p24.3.,DFNB47,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 48,An autosomal recessive nonsyndromic deafness that has_material_basis_in mutation in the CIB2 gene on chromosome 15q25.,DFNB48,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 49,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with moderate to profound,DFNB49,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 5,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 14q12.,DFNB5,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 51,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 11p13-p12.,DFNB51,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 53,An autosomal recessive nonsyndromic deafness that is characterized by prelingual onset with severe to profound,DFNB53,autosomal recessive nonsyndromic deafness
autosomal recessive nonsyndromic deafness 55,An autosomal recessive nonsyndromic deafness that has_material_basis_in variation in the chromosome region 4q12-q13.2.,DFNB55,autosomal recessive nonsyndromic deafness
